date,工業及服務業,工業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營造業,服務業,批發及零售業,運輸及倉儲業,住宿及餐飲業,資訊及通訊傳播業,金融及保險業,不動產業,專業科學及技術服務業,支援服務業,教育服務業,醫療保健服務業,藝術娛樂及休閒服務業,其他服務業
1980,8843,8205,11549,8034,14944,9103,8309,10174,9274,10585,7358,13708,14103,17961,10902,10354,0,12724,8219,8313
1981,10677,9914,14751,9555,19157,10800,10764,12186,11488,12696,8501,15999,17467,18724,12463,11401,0,14502,10033,8462
1982,11472,10771,15198,10455,20612,12191,11415,12803,11729,13957,8730,16190,19269,20574,13997,13109,0,13360,8943,9446
1983,12122,11489,14822,11121,21678,12678,12718,13330,12232,14239,9494,16362,19134,21797,15544,12694,0,14119,9871,9829
1984,13409,12543,15773,12151,25503,13102,14122,15116,14419,15183,10632,18111,21505,22150,17195,13638,0,16683,10277,10235
1985,13980,13099,16322,12677,29007,13977,14763,15716,14413,16526,10619,20481,23247,23135,17896,14452,0,17583,10076,10351
1986,15118,14247,17181,13960,28998,15356,15037,16871,15787,17469,10525,23187,24565,22068,18417,15948,0,19142,10869,10323
1987,16496,15563,17863,15333,30242,15752,16045,18338,17196,18390,11151,24686,28054,23788,20490,16288,0,20453,11854,11460
1988,18399,17282,19762,16987,34495,20688,17879,20441,19024,20173,12142,27544,32362,25924,22883,17197,0,22887,13207,12829
1989,21247,19918,21689,19429,42612,23022,21433,23440,21021,23368,13491,32565,39248,30359,26065,18896,0,25146,16154,14737
1990,24317,22683,26522,22011,47466,28249,24719,26760,24692,26375,15448,36866,39061,33984,31149,22457,0,29158,17888,16902
1991,26881,25359,28671,24426,58395,29915,28193,29052,26435,29897,17049,41579,41031,39214,33695,23702,0,32366,18235,18631
1992,29449,27934,31937,26938,60937,31017,30825,31471,28152,32271,18209,44518,46380,39911,37883,25708,0,35670,20463,21485
1993,31708,30039,32875,28822,64897,33927,33638,33799,30548,34767,18950,48781,50035,42402,40699,27785,0,37176,21124,22150
1994,33661,31829,33887,30748,69330,38065,34379,35860,32089,36711,20373,52229,56462,42056,40700,29018,0,39633,22133,23205
1995,35389,33435,35633,32489,71940,39072,35278,37509,34150,39258,22316,54649,54658,40614,42718,32927,0,41623,22116,25077
1996,36699,34692,37354,33833,79953,39304,35817,38811,34904,40983,22198,55873,56886,40445,43217,33649,0,44797,23532,25846
1997,38489,36174,38545,35402,80437,40281,37029,40901,36406,42715,23528,58831,60597,40666,45904,35394,0,47378,24893,26929
1998,39673,37229,40083,36431,88192,41708,37886,42170,37696,44074,24039,61421,59546,41719,47898,34814,0,48920,26256,29530
1999,40842,38404,41432,37738,91265,44729,38070,43294,38695,45072,25117,61260,60332,44429,49574,34919,0,51020,26524,30825
2000,41861,39498,43067,38914,91805,44341,38897,44210,39541,45949,26060,62759,60872,43716,49844,35277,0,53397,27592,31335
2001,41960,39005,44069,38412,97399,46002,37746,44818,39775,48017,25973,62100,62657,42277,49227,35579,0,54484,28338,29927
2002,41530,38836,44804,38435,93466,43917,36844,44105,39152,46509,25687,59239,65703,40896,45672,34605,0,53841,27888,29236
2003,42065,39851,47720,39549,95191,43954,37214,44153,39610,45934,24951,60292,64645,40431,47429,32871,0,55702,27666,28947
2004,42680,40841,46307,40657,94525,42880,37916,44387,39819,46882,24813,59417,66671,39781,49311,32707,0,55341,29662,29421
2005,43159,41908,47671,41858,91184,47647,38450,44281,39545,48513,25121,61381,65113,38819,50890,32815,0,55603,29898,30384
2006,43488,42507,53344,42393,97230,47251,39168,44350,39380,48338,24960,61134,69054,38313,51740,32622,0,55429,31303,30203
2007,44392,43306,50949,43178,98519,44399,40310,45329,39463,49080,25476,63731,75828,37858,53264,33127,0,56613,31414,29925
2008,44367,43236,51333,43121,89432,44521,40754,45326,39956,49540,26699,63777,71528,40324,54542,32977,0,58134,31930,29314
2009,42182,40005,49448,39125,96285,44042,40870,43923,40081,47835,27106,61888,67724,38680,49983,31578,22197,57857,31242,29738
2010,44359,42754,52551,42300,96523,45106,41598,45656,41766,48902,27788,64266,74242,41018,52995,32318,22459,57897,32687,30832
2011,45508,43746,53978,43316,95382,45828,42716,46933,42562,50186,29715,66291,76951,41958,55322,33009,22416,59900,33236,32526
2012,45589,44011,52751,43689,92869,43680,42683,46850,41822,50196,30107,67008,77989,39588,56479,33635,22769,60263,35458,32728
2013,45664,44076,54871,43829,88873,44118,42540,46921,42274,49808,30504,65545,77871,40298,55507,33850,22922,59910,36072,33313
2014,47300,45378,54579,45207,94022,44814,43251,48815,44422,50028,31747,66316,83092,42914,57414,34909,24224,61300,35829,35086
2015,48490,46735,53886,46781,96444,44183,43346,49861,45488,51219,32596,66453,84696,42351,58252,35671,24302,64103,36185,34526
2016,48790,47035,52398,47258,94292,42843,42839,50146,45429,52132,32622,67709,85417,41339,58708,36023,24873,65239,36807,34145

